Protein	Protein State	Deut Time	MS File	Start Idx	End Idx	z	maxD	#D left	#D right	Start RT	End RT	Confidence	Theor mono m/z	mono inty	m+1 inty	m+2 inty	...
	apo BRD4(1-477) wt	1s	N66428_23_01_06	1	26	3	22	0.0009	0.0000	10.19	10.37	High	912.1034	31898.1921	41572.0000	31171.2292	22343.0073	9173.9416	3655.7479	1217.3139	667.9685	319.7114	187.7670	282.9192	123.6979	128.7727	97.0553	85.0026	275.9414	1124.0648	1698.1498	NaN
	apo BRD4(1-477) wt	1s	N66428_23_01_06	5	26	3	18	0.0613	0.0000	9.73	9.90	Medium	772.7193	37389.8589	45010.0000	27223.0315	13613.9196	4815.9017	1478.0121	653.8418	155.9055	204.6690	138.7353	54.9447	300.8222	147.6638	125.6860	326.9209	70.0545	NaN	NaN	NaN
	apo BRD4(1-477) wt	1s	N66428_23_01_06	12	26	2	12	0.0249	0.0000	8.98	9.10	Medium	824.3951	50374.0000	42648.2188	18805.9859	11287.7423	4568.9030	2947.0347	814.7774	554.9711	601.8592	447.3589	651.0533	447.3589	375.8737	302.0826	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	1s	N66428_23_01_06	15	21	1	5	0.0023	0.0000	7.97	8.05	Medium	688.3334	48462.0000	14459.8451	3956.2325	14933.8535	6094.8166	1132.8875	351.9938	62.8560	73.2088	127.9305	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	1s	N66428_23_01_06	15	22	1	6	0.0009	0.0000	6.69	6.82	Medium	817.3760	20012.0000	7380.0262	2244.1167	884.9436	7922.0465	2402.9057	3118.0672	1427.8799	477.8939	321.8532	280.9345	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	1s	N66428_23_01_06	15	26	2	10	0.0002	0.0000	7.97	8.27	Medium	632.7810	303035.0000	161137.7688	92337.0095	23661.0986	7315.1960	1951.3355	860.0673	8993.7144	12355.3753	6126.8235	2066.9359	1812.6149	906.3075	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	1s	N66428_23_01_06	27	40	2	10	0.0010	0.0000	3.08	3.32	Medium	706.8419	188272.0000	138060.3876	45701.2432	11034.6037	2364.3527	752.6858	387.8343	2065.5767	1031.3519	129.2781	221.2092	77.5669	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	1s	N66428_23_01_06	41	63	3	15	0.0008	0.0000	3.73	4.02	High	839.4332	72571.5626	101541.0000	75839.2817	30156.2903	9240.7191	3783.6747	1061.3502	489.6156	102.2615	69.7237	74.3720	91.4156	280.4444	32.5377	137.8981	80.5696	NaN	NaN	NaN
	apo BRD4(1-477) wt	1s	N66428_23_01_06	41	65	3	17	0.0025	0.0000	4.30	4.60	High	936.4739	124930.1792	188791.0000	139869.8317	75530.8038	27079.2004	9267.4242	2310.3743	890.1567	509.8956	236.2228	293.8381	184.3690	682.7415	184.3690	167.0844	564.6301	259.2689	NaN	NaN
	apo BRD4(1-477) wt	1s	N66428_23_01_06	48	58	2	7	0.0012	0.0000	8.28	8.45	High	634.3413	373478.0000	255521.9819	72131.0910	16276.0840	3607.4094	1048.5993	769.3527	991.6102	638.2778	626.8800	461.6116	353.3324	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	1s	N66428_23_01_06	66	72	1	5	0.0011	0.0000	6.78	6.89	Medium	840.6029	8568.0000	3404.9743	884.0591	123.9409	52.9494	194.0171	26.0171	104.9837	16.9961	27.9782	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	1s	N66428_23_01_06	68	74	1	5	0.0065	0.0000	6.22	6.39	Medium	828.5665	11376.0000	4400.9419	1256.9408	214.0323	46.0005	26.0380	17.0115	14.0605	0.0000	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	1s	N66428_23_01_06	69	78	2	8	0.0021	0.0000	7.07	7.37	Medium	626.3822	171274.0000	128491.4353	46504.1513	10022.6717	2135.2080	972.2122	143.7411	405.0884	159.4219	175.1027	128.0602	334.5246	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	1s	N66428_23_01_06	69	88	3	16	0.0116	0.0000	13.24	13.52	High	823.1144	68775.0685	88941.0000	71634.5892	37909.3454	11268.4386	3430.8819	926.9353	871.2920	860.4348	532.0038	347.4311	332.5024	118.0723	207.6444	154.7154	1681.5122	NaN	NaN	NaN
	apo BRD4(1-477) wt	1s	N66428_23_01_06	69	91	3	19	0.0033	0.0000	12.67	12.97	High	922.5145	25082.9866	45626.0000	37135.0456	19172.8758	7418.0977	2532.8052	1072.8567	291.0150	332.0913	112.7857	151.0772	284.0529	64.0511	130.1909	361.3320	593.1693	1026.2108	NaN	NaN
	apo BRD4(1-477) wt	1s	N66428_23_01_06	73	91	3	15	0.0121	0.0000	12.77	12.99	Medium	776.0759	23020.1965	27816.0000	19738.8125	9275.8200	3334.8640	895.1544	244.0558	222.8336	252.9692	36.9267	255.9403	280.9826	117.9957	177.8424	208.8269	460.0983	NaN	NaN	NaN
	apo BRD4(1-477) wt	1s	N66428_23_01_06	75	88	2	10	0.0005	0.0000	12.89	13.20	High	907.4441	104282.8382	116487.0000	55761.2524	18535.5373	5542.1754	1775.7002	714.5460	462.1442	549.2406	476.3640	549.2406	467.4766	517.2460	341.2757	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	1s	N66428_23_01_06	75	91	2	13	0.0115	0.0000	11.87	12.17	Medium	1056.5443	6220.0233	6726.0000	4609.0060	2138.0336	712.9858	193.9748	157.9509	88.9821	98.0137	317.9545	282.9569	273.0016	490.9924	419.0472	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	1s	N66428_23_01_06	78	88	2	7	0.0930	0.0000	13.57	13.86	Medium	681.8275	695396.0000	642404.3524	399198.7933	115087.5870	18930.1360	4520.3127	1315.7718	880.7182	392.6093	615.4416	159.1659	381.9983	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	1s	N66428_23_01_06	78	91	2	10	0.0029	0.0000	13.23	13.33	Medium	830.9277	76120.0000	75719.2767	36449.5570	9603.4205	2038.4619	564.4971	341.4859	228.8188	120.7977	301.9944	46.4607	190.4887	162.6123	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	1s	N66428_23_01_06	79	85	1	4	0.0054	0.0000	13.67	13.69	Medium	923.4410	6392.0000	3119.9709	547.9554	233.9881	150.9852	83.9782	87.9772	87.0018	403.0174	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	1s	N66428_23_01_06	79	88	2	6	0.1009	0.0000	13.64	13.80	Medium	617.7982	861533.0000	781722.7178	512174.0395	137719.0770	24175.7715	4062.1606	736.1845	302.3615	289.2153	262.9230	2155.9687	341.7999	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	1s	N66428_23_01_06	79	91	2	9	0.0045	0.0000	13.15	13.44	Medium	766.8985	238246.0000	196573.3991	88332.9718	21594.2815	5736.6627	1868.5961	890.6732	472.6021	596.2058	465.3313	458.0605	418.0711	210.8533	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	1s	N66428_23_01_06	82	88	1	4	0.0003	0.0000	13.64	13.75	Medium	830.4043	127129.0000	43465.9134	8244.3533	1348.2446	438.4626	746.8961	2025.2465	779.8733	857.4667	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
